grid_id,lat,lon,freq,max_mag,avg_mag,avg_depth,gempa_in_radius_50,density
-0.2_120.9,-0.1320598871,120.9524918,1,2.679065854,2.679065854,10.0,97,0.0010838242198797266
-0.2_121.0,-0.15150127685,121.05376095,2,2.885372092,2.5440425959999997,10.0,99,0.0011471398733291867
-0.2_121.2,-0.1629785796,121.218338,3,4.434668704,2.9876825339999997,16.333333333333332,125,0.0014445182275035862
-0.2_121.30000000000001,-0.1678776119112396,121.34831701334635,3,2.7128252,2.5117547675309093,18.0,156,0.0019704762400558472
-0.2_121.4,-0.18083818882,121.47596892000001,5,3.096624709,2.5716790326,16.2,235,0.0029366048543472073
-0.2_121.5,-0.12985303254455158,121.57759604475912,3,2.832039265361876,2.7506029581206253,18.333333333333332,395,0.004297059209378013
-0.2_121.60000000000001,-0.15241287834574965,121.65995408618164,4,2.849705014397385,2.5160059898493463,13.0,510,0.005417015731937338
-0.2_121.7,-0.1450849911841954,121.75379082150879,8,3.799263264,2.7502841808262195,36.25,633,0.006974031485534619
-0.2_121.80000000000001,-0.16118303793577968,121.84023175029297,7,3.278447659,2.655262687206314,42.285714285714285,690,0.008041869451365112
-0.2_121.9,-0.14132904438181818,121.94701853636364,11,5.583006,3.333806206545454,176.9090909090909,849,0.009331674862232317
-0.2_122.0,-0.1629656209,122.04151304999999,4,2.719255669,2.5731256305,173.5,812,0.009194467906076335
-0.2_122.10000000000001,-0.1332397307,122.16632665,2,2.9190472,2.484028441,48.5,1008,0.009698517348357949
-0.2_122.2,-0.15401487306718864,122.23605925810547,6,2.541031937,2.208551823439697,13.166666666666666,941,0.00918174623218104
-0.2_122.30000000000001,-0.17375994615714285,122.33905791428572,7,4.290960306,2.9865785487142853,12.571428571428571,918,0.009395830120811476
-0.2_122.4,-0.14286873842636774,122.4651542456629,17,5.121956073,3.0576935277764874,16.41176470588235,1297,0.012628248122923307
-0.2_122.5,-0.16399259753529413,122.5333663882353,17,3.92708687,2.8766664534117647,22.352941176470587,1633,0.015488730053206933
-0.2_122.60000000000001,-0.16157922607407407,122.66299072222222,27,4.162894896,2.786769835259259,27.666666666666668,2155,0.025740858545326987
-0.2_122.7,-0.15133244349533956,122.75906072406087,60,4.3440562,2.817764657000751,51.3,2482,0.03612323216168408
-0.2_122.80000000000001,-0.1504614563938933,122.85636978233269,173,4.796496181,3.0344889128232904,82.26011560693641,2687,0.04646983947565037
-0.2_122.9,-0.15289319204613305,122.94895148977632,197,6.231235450366762,3.2388415874482854,80.24365482233503,2851,0.053089666675775624
-0.2_123.0,-0.14444955931497389,123.04377835287109,129,5.386214131,3.263878985981855,90.29230769230769,2977,0.05430008663270352
-0.2_123.10000000000001,-0.1417003089025832,123.15329468657602,117,4.782624535393314,3.310290326256978,107.47863247863248,3078,0.0498482064581912
-0.2_123.2,-0.13608641006985406,123.24511124038561,82,5.13307002981729,3.518081740029704,114.90243902439025,3054,0.043222672416856595
-0.2_123.30000000000001,-0.14272432288696793,123.34477051794372,77,4.9753554,3.5346252323377367,119.93589743589743,2724,0.035391372450818075
-0.2_123.4,-0.1409204011669772,123.43513051231605,43,4.727087508,3.721433184671632,115.74418604651163,2174,0.029018972427925734
-0.2_123.5,-0.14414650147658967,123.54667242705358,35,4.848407514,3.6394768454860085,79.11428571428571,1790,0.02287560841859975
-0.2_123.60000000000001,-0.14421985014387845,123.65438107710877,32,5.802878242058827,3.7261772061689276,113.53125,1470,0.018950123594088365
-0.2_123.7,-0.14642499285263086,123.7525381892627,40,5.146105137628576,3.835524135852064,88.55,1256,0.01660274370967974
-0.2_123.80000000000001,-0.15296468814160988,123.84702211829772,38,6.166634402,3.87868352058155,85.71052631578948,1096,0.014939660079387688
-0.2_123.9,-0.1537375597870925,123.9464745383948,42,5.1571977,3.935055690295426,71.90697674418605,995,0.013587165040425201
-0.2_124.0,-0.14823642405315546,124.04344514414949,22,4.7311572,3.809967537664214,60.5,1026,0.012610342572689441
-0.2_124.10000000000001,-0.13875043835732392,124.1523974561477,21,4.5795472,3.800082167022141,55.04761904761905,1022,0.012132341285923345
-0.2_124.2,-0.1429370078903157,124.26188135345052,9,4.6132299,3.512959099041964,47.333333333333336,950,0.01242839572729047
-0.2_124.30000000000001,-0.15233271269292536,124.3610418429362,21,4.943853425,3.8160304986127436,28.142857142857142,896,0.012955325557992376
-0.2_124.4,-0.14305363732665566,124.45256958552245,48,5.562746919,3.961351545467568,25.479166666666668,829,0.0131481261690407
-0.2_124.5,-0.14870541900500375,124.55143417085802,29,4.7862664,3.704200911176122,24.689655172413794,775,0.012455737281900445
-0.2_124.60000000000001,-0.14932610037492117,124.64248458353006,23,5.363586533,3.9091560169090958,20.08695652173913,756,0.011156810164616244
-0.2_124.7,-0.14750263442019826,124.74709851771398,23,5.052495611,4.07722049457722,25.869565217391305,751,0.009519101347012362
-0.2_124.80000000000001,-0.15579305267142857,124.82449122857143,7,4.605529653,3.860449327285714,10.714285714285714,749,0.008608767081684048
-0.2_124.9,-0.16723645038944457,124.96949660251953,10,4.808001537,4.13410441920678,19.8,662,0.008351921755811918
-0.2_125.0,-0.1555170094539978,125.05505049174398,24,5.722876797,3.8692289904620605,22.666666666666668,601,0.008901103796313264
